timestep,reward
1,-0.7364
137,-0.1463
276,-0.13
412,-0.0925
556,-0.0865
689,-0.0735
828,-0.064
963,-0.0757
1093,-0.0789
1240,-0.0718
1378,-0.0687
1515,-0.0628
1659,-0.0709
1799,-0.0476
1928,-0.084
2063,-0.0785
2202,-0.0822
2336,-0.0792
2471,-0.0575
2607,-0.0556
2749,-0.0733
2885,-0.0514
3027,-0.055
3172,-0.0659
3324,-0.0661
3464,-0.0521
3599,-0.0737
3741,-0.0708
3870,-0.0796
4008,-0.0717
4155,-0.0707
4294,-0.0711
4435,-0.0666
4574,-0.0671
4711,-0.0683
4850,-0.0634
4997,-0.0526
5135,-0.066
5288,-0.0505
5433,-0.0508
5568,-0.0607
5710,-0.0447
5845,-0.0716
5978,-0.0624
6121,-0.0795
6266,-0.0708
6405,-0.0667
6541,-0.0665
6673,-0.0787
6821,-0.0671
